ts,cheval,cavalier,discipline,epreuve,hauteur,classement_estime,proba,verdict,is_cold_start,model_name,snapshot,id
2026-05-25T05:55:04,TURLUPIN DU PRE PRINCE,Voir sa fiche,Equifun 30 cm,Club A Moustique Chp des Territoires individuel,,1,100,cold-start,True,LightGBM,crawl-predict:c36a23a6,ef778ed2e60c
2026-05-25T05:55:04,BADRU E V STAL HULZEMA,Voir sa fiche,Equifun 30 cm,Club A Moustique Chp des Territoires individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,7dad652bce94
2026-05-25T05:55:04,LUCIFER,Voir sa fiche,Equifun 30 cm,Club A Moustique Chp des Territoires individuel,,6,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,75ce002c2916
2026-05-25T05:55:04,EGLANTINE,Voir sa fiche,Equifun 30 cm,Club A Moustique Chp des Territoires individuel,,7,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,12ba7941bd74
2026-05-25T05:55:04,FLICKA,Voir sa fiche,Equifun 30 cm,Club A Moustique Chp des Territoires individuel,,10,2,cold-start,True,LightGBM,crawl-predict:c36a23a6,b76ac1473c31
2026-05-25T05:55:04,EGLANTINE,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,1983b8b4cc47
2026-05-25T05:55:04,ATCHOUM,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,8,10,cold-start,True,LightGBM,crawl-predict:c36a23a6,c579fbd148fe
2026-05-25T05:55:04,GLOBULLE,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,27abc9d101f4
2026-05-25T05:55:04,BADRU E V STAL HULZEMA,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,9abffcebc6a9
2026-05-25T05:55:04,CHEYENNE DU FOSSARD,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,1529b14b16b6
2026-05-25T05:55:04,IZY GIRL DE CAUX,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,98c21b456ec7
2026-05-25T05:55:04,LOOPING,Voir sa fiche,Equifun 30 cm,Club A Poussin Chp des Territoires individuel,,6,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,097ef71b9b3b
