concours_id,cheval_id,cavalier_id,club_id,cheval_nom,cavalier_nom,club,sexe_cheval,robe_cheval,taille_cheval,discipline_famille,hauteur_cm,niveau_epreuve,type_epreuve,is_equipe,nombre_participants,niveau_num,horse_win_rate,horse_participations,rider_win_rate,rider_participations,club_win_rate,couple_synergy,experience_ratio,horse_wr_x_niveau,horse_wr_x_hauteur,rider_wr_x_niveau,rider_wr_x_hauteur,synergy_x_niveau,pts_qualification,classement,resultat_binaire
2509086,2979,3052,765,HAPPY DE BEAULIEU,ENORA VERDIER,SAS MARION POCHE (91),Femelle,Bai,Catégorie E,CSO,65,Club,GrandPrix,0,4,3,0.3,0,0.3,0,0.3,0.09,0.0,0.8999999999999999,0.195,0.8999999999999999,0.195,0.27,2.0,40,0
2509086,2965,2176,765,DOM DE MORZINE,ERINE LECESNE,SAS MARION POCHE (91),Hongre,Bai,Catégorie E,CSO,65,Club,GrandPrix,0,4,3,0.3,0,0.3,0,0.0,0.09,0.0,0.8999999999999999,0.195,0.8999999999999999,0.195,0.27,0.0,42,0
2509086,3805,2979,968,GRACE DE GASCOGNE,MATHYS SCHAULY,LE COMPTOIR DU CAVALIER (49),Femelle,Bai,Catégorie C,CSO,100,Elite,GrandPrix,0,1,8,0.3,0,0.3,0,0.3,0.09,0.0,2.4,0.3,2.4,0.3,0.72,40.0,1,1
2509086,3587,2783,929,CURLY DU PARC,CLELIA BRETANT,HARAS DU BOIS COURTIN HBC (91),Hongre,Bai,Catégorie D,CSO,100,Elite,GrandPrix,0,5,8,0.3,0,0.3,0,0.3,0.09,0.0,2.4,0.3,2.4,0.3,0.72,20.0,10,1
2509086,3571,2769,928,CALI'HOPE DE CER,MAE GRESET,ECURIES DE LA FAISANDERIE (77),Femelle,Bai,Catégorie D,CSO,100,Elite,GrandPrix,0,5,8,0.3,0,0.3,0,0.3,0.09,0.0,2.4,0.3,2.4,0.3,0.72,10.0,13,1
2509086,3873,2979,968,FOXY KINGSTON,MATHYS SCHAULY,LE COMPTOIR DU CAVALIER (49),Hongre,Gris,Catégorie D,CSO,100,Elite,GrandPrix,0,5,8,0.3,0,1.0,1,1.0,0.3,0.0,2.4,0.3,8.0,1.0,2.4,10.0,14,1
2509086,3874,3053,929,BALLYGAR DONAL,OUMY BRUNET,HARAS DU BOIS COURTIN HBC (91),Femelle,Gris,Catégorie D,CSO,100,Elite,GrandPrix,0,5,8,0.3,0,0.3,0,1.0,0.09,0.0,2.4,0.3,2.4,0.3,0.72,10.0,16,1
2509086,1400,3054,55,FRIMOUSSE D'ARION,AGATHE BARRET,ACF (41),Femelle,Gris,Catégorie D,CSO,100,Elite,GrandPrix,0,5,8,0.3,0,0.3,0,0.0,0.09,0.0,2.4,0.3,2.4,0.3,0.72,0.0,20,0
2509086,3875,3055,987,FLAMBY DE BACARRA,CANDYSSE BRIDANT,ELEVAGE SO GOOD (77),Femelle,Bai Fonce,Catégorie D,CSO,90,Niveau1,GrandPrix,0,8,3,0.3,0,0.3,0,0.3,0.09,0.0,0.8999999999999999,0.27,0.8999999999999999,0.27,0.27,8.0,32,1
2509086,3736,2910,929,HUHELM D'OFF,LOU MALANDAIN,HARAS DU BOIS COURTIN HBC (91),Mâle,Bai,Catégorie D,CSO,90,Niveau1,GrandPrix,0,8,3,0.3,0,0.3,0,1.0,0.09,0.0,0.8999999999999999,0.27,0.8999999999999999,0.27,0.27,8.0,34,1
2509086,352,141,48,DIAMONDS ICELOLLY,MELINE DIOUX,PONEY CLUB D OZOIR (77),Femelle,Gris,Catégorie D,CSO,90,Niveau1,GrandPrix,0,8,3,0.3,0,0.3,0,0.3,0.09,0.0,0.8999999999999999,0.27,0.8999999999999999,0.27,0.27,8.0,35,1
2509086,3876,1071,48,KAHISKA DE VILONA,LENA PIERRE,PONEY CLUB D OZOIR (77),Femelle,Bai,Catégorie D,CSO,90,Niveau1,GrandPrix,0,8,3,0.3,0,0.3,0,1.0,0.09,0.0,0.8999999999999999,0.27,0.8999999999999999,0.27,0.27,8.0,38,1
2509086,3877,3056,929,BEHYBEG FRANKIE,SOLWEIG SCHLEGEL,HARAS DU BOIS COURTIN HBC (91),Mâle,Isabelle,Catégorie D,CSO,90,Niveau1,GrandPrix,0,8,3,0.3,0,0.3,0,1.0,0.09,0.0,0.8999999999999999,0.27,0.8999999999999999,0.27,0.27,8.0,40,1
2509086,1035,721,267,GRATINA DES ISLOTS,AUDE VINCENT,ECURIES DE BOIS D ARCY (78),Femelle,Gris,Catégorie C,CSO,90,Niveau1,GrandPrix,0,8,3,0.3,0,0.3,0,0.4,0.09,0.0,0.8999999999999999,0.27,0.8999999999999999,0.27,0.27,8.0,41,1
2509086,1247,924,55,BLUEBERRY DE CYDEL,LISE MORSIANI,ACF (41),Hongre,Bai,Catégorie D,CSO,90,Niveau1,GrandPrix,0,8,3,0.3,0,0.3,0,0.0,0.09,0.0,0.8999999999999999,0.27,0.8999999999999999,0.27,0.27,0.0,47,0
2509086,3878,3057,953,KALASKA DE SAMOIS,SIHEM FOUKA,ECURIES DE SAMOIS (77),Mâle,Alezan,Catégorie D,CSO,90,Niveau1,GrandPrix,0,8,3,0.3,0,0.3,0,0.0,0.09,0.0,0.8999999999999999,0.27,0.8999999999999999,0.27,0.27,0.0,52,0
2509086,3689,2868,949,ELYNA D'ANGELS,MAELIE LAMBERT,ECURIE MA BOHEME (77),Femelle,Bai Fonce,Catégorie B,CSO,80,Niveau2,GrandPrix,0,3,4,0.3,0,0.3,0,0.3,0.09,0.0,1.2,0.24,1.2,0.24,0.36,12.0,11,1
2509086,3879,3058,972,DRAKKAR DU BURGUET,INES RAJALU,ARBONNE EQUITATION (77),Mâle,Bai Melange,Catégorie C,CSO,80,Niveau2,GrandPrix,0,3,4,0.0,1,0.0,1,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,6.0,16,0
2509086,3691,2870,949,KISS D'ORGEVAL,LILLY JUNE MARTIN FENOUILLET,ECURIE MA BOHEME (77),Mâle,Bai,Catégorie D,CSO,80,Niveau2,GrandPrix,0,3,4,0.3,0,0.3,0,1.0,0.09,0.0,1.2,0.24,1.2,0.24,0.36,0.0,22,0
2509086,3596,2789,55,GOXOA PHILOU,MAILYS BEN LOULOU,ACF (41),Femelle,Gris,Catégorie D,CSO,110,Niveau2,GrandPrix,0,3,4,0.3,0,0.3,0,0.0,0.09,0.0,1.2,0.33,1.2,0.33,0.36,40.0,4,1
2509086,3613,2803,929,WOODFIELD TARA,MANON DIMEY,HARAS DU BOIS COURTIN HBC (91),Femelle,Gris,Catégorie D,CSO,110,Niveau2,GrandPrix,0,3,4,0.3,0,0.3,0,1.0,0.09,0.0,1.2,0.33,1.2,0.33,0.36,20.0,7,1
